Date,Celltype,Reference,0min,1min,2min,3min
30.10.18,WT,1086,122,234,355,253
30.10.18,WT,1414,109,259,330,484
30.10.18,KO,869,82,180,179,194
30.10.18,KO,1062,118,88,303,297
02.11.18,WT,7001,896,1920,2101,2132
02.11.18,WT,6695,700,1433,2079,2954
02.11.18,WT,6708,941,1875,1857,2608
02.11.18,KO,5993,387,1152,1308,1450
02.11.18,KO,5868,484,1086,1698,1742
02.11.18,KO,5861,565,1064,1636,1636
05.12.18,WT,11306,865,2281,2867,4022
05.12.18,WT,10491,772,2755,4112,3266
05.12.18,WT,12966,1180,3215,3576,5630
05.12.18,KO,10443,547,2382,2896,NA
05.12.18,KO,10173,680,2510,2640,3340
05.12.18,KO,14822,609,2104,2268,3306
